block_seed,architecture,condition,family,lambda,rho,mu,graph_index,graph_id,log_loss,accuracy,brier
17,pna,rho_high,homophily,24.0,0.8,0.35,5,target:17:rho_high:5:496034729,0.001829048153012991,0.999755859375,0.0002666845393832773
17,mean,rho_high,homophily,24.0,0.8,0.35,6,target:17:rho_high:6:1003557833,0.0014025454875081778,0.99951171875,0.0003692893369589001
17,mean_degree,rho_high,homophily,24.0,0.8,0.35,6,target:17:rho_high:6:1003557833,0.0013961070217192173,0.999755859375,0.00034075567964464426
17,sum,rho_high,homophily,24.0,0.8,0.35,6,target:17:rho_high:6:1003557833,0.0021035405807197094,0.999267578125,0.0005255676805973053
17,pna,rho_high,homophily,24.0,0.8,0.35,6,target:17:rho_high:6:1003557833,0.0031279120594263077,0.9990234375,0.0006798923132009804
17,mean,rho_high,homophily,24.0,0.8,0.35,7,target:17:rho_high:7:1751389818,0.002519877627491951,0.999267578125,0.000655648997053504
17,mean_degree,rho_high,homophily,24.0,0.8,0.35,7,target:17:rho_high:7:1751389818,0.002288630697876215,0.999267578125,0.0006536514265462756
17,sum,rho_high,homophily,24.0,0.8,0.35,7,target:17:rho_high:7:1751389818,0.0019919497426599264,0.999267578125,0.0006248627323657274
17,pna,rho_high,homophily,24.0,0.8,0.35,7,target:17:rho_high:7:1751389818,0.0038424006197601557,0.998779296875,0.0009885170729830861
17,mean,mu_low,feature_signal,24.0,0.6,0.2,0,target:17:mu_low:0:1973316722,0.11813794821500778,0.951904296875,0.03512365743517876
17,mean_degree,mu_low,feature_signal,24.0,0.6,0.2,0,target:17:mu_low:0:1973316722,0.11557437479496002,0.951416015625,0.03464555740356445
17,sum,mu_low,feature_signal,24.0,0.6,0.2,0,target:17:mu_low:0:1973316722,0.1347094476222992,0.947509765625,0.039058618247509
17,pna,mu_low,feature_signal,24.0,0.6,0.2,0,target:17:mu_low:0:1973316722,0.16253650188446045,0.93212890625,0.04866304248571396
17,mean,mu_low,feature_signal,24.0,0.6,0.2,1,target:17:mu_low:1:137259309,0.1908605694770813,0.922119140625,0.056115493178367615
17,mean_degree,mu_low,feature_signal,24.0,0.6,0.2,1,target:17:mu_low:1:137259309,0.1844242811203003,0.925537109375,0.05448669195175171
17,sum,mu_low,feature_signal,24.0,0.6,0.2,1,target:17:mu_low:1:137259309,0.2135043740272522,0.91845703125,0.061578940600156784
17,pna,mu_low,feature_signal,24.0,0.6,0.2,1,target:17:mu_low:1:137259309,0.21066732704639435,0.913330078125,0.06327010691165924
17,mean,mu_low,feature_signal,24.0,0.6,0.2,2,target:17:mu_low:2:65018042,0.14639775454998016,0.949462890625,0.041024625301361084
17,mean_degree,mu_low,feature_signal,24.0,0.6,0.2,2,target:17:mu_low:2:65018042,0.13912275433540344,0.94970703125,0.039855509996414185
17,sum,mu_low,feature_signal,24.0,0.6,0.2,2,target:17:mu_low:2:65018042,0.15095628798007965,0.941650390625,0.04398553445935249
17,pna,mu_low,feature_signal,24.0,0.6,0.2,2,target:17:mu_low:2:65018042,0.19247426092624664,0.921875,0.05642273277044296
17,mean,mu_low,feature_signal,24.0,0.6,0.2,3,target:17:mu_low:3:358714915,0.207259863615036,0.91650390625,0.06170661747455597
17,mean_degree,mu_low,feature_signal,24.0,0.6,0.2,3,target:17:mu_low:3:358714915,0.19366610050201416,0.918701171875,0.0587332658469677
17,sum,mu_low,feature_signal,24.0,0.6,0.2,3,target:17:mu_low:3:358714915,0.23742109537124634,0.910888671875,0.06785155087709427
17,pna,mu_low,feature_signal,24.0,0.6,0.2,3,target:17:mu_low:3:358714915,0.22915515303611755,0.909423828125,0.06954337656497955
17,mean,mu_low,feature_signal,24.0,0.6,0.2,4,target:17:mu_low:4:558810624,0.11886221170425415,0.954345703125,0.034601710736751556
17,mean_degree,mu_low,feature_signal,24.0,0.6,0.2,4,target:17:mu_low:4:558810624,0.11148630082607269,0.953857421875,0.03241051733493805
17,sum,mu_low,feature_signal,24.0,0.6,0.2,4,target:17:mu_low:4:558810624,0.13355377316474915,0.951904296875,0.03777054697275162
